playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Patrick Patterson,2910.0,737.0,369.0,326.0,5038.0,0,1,2.97272727273,14742.0
Quincy Pondexter,762.0,324.0,122.0,70.0,2004.0,0,1,1.71428571429,6835.0
Ish Smith,1460.0,2375.0,466.0,132.0,4231.0,0,1,0.347058823529,11487.0
Lance Stephenson,1760.0,1273.0,294.0,60.0,3801.0,0,1,1.325,10626.0
Evan Turner,3076.0,2230.0,510.0,136.0,6750.0,0,1,1.92222222222,17505.0
Ekpe Udoh,1114.0,236.0,164.0,426.0,1412.0,0,1,1.11428571429,5854.0
John Wall,2217.0,4610.0,870.0,322.0,9419.0,0,1,5.77142857143,18031.0
Hassan Whiteside,2474.0,93.0,130.0,568.0,2942.0,0,1,5.06,5891.0
Bismack Biyombo,2945.0,189.0,117.0,667.0,2176.0,0,1,3.0,9557.0
Alec Burks,877.0,534.0,184.0,46.0,3034.0,0,1,1.61666666667,6618.0
Jimmy Butler,1921.0,1254.0,583.0,183.0,6208.0,0,1,8.21666666667,12880.0
Kenneth Faried,3480.0,432.0,322.0,356.0,4858.0,0,1,5.76666666667,10539.0
Tobias Harris,2965.0,846.0,377.0,274.0,7024.0,0,1,3.47,14889.0
Kyrie Irving,1290.0,2114.0,504.0,127.0,8232.0,0,1,6.73333333333,13024.0
Reggie Jackson,1552.0,2210.0,357.0,57.0,6036.0,0,1,3.2625,12155.0
Cory Joseph,821.0,904.0,232.0,71.0,2479.0,0,1,2.53333333333,7083.0
Enes Kanter,3668.0,324.0,204.0,226.0,6194.0,0,1,4.1125,11614.0
Kawhi Leonard,2469.0,903.0,704.0,280.0,6508.0,0,1,9.21666666667,12154.0
